Ocupation,MODEL,BANK
EXECUTIVE,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,NO FINANCE - CASH PAYMENT
RETIRE,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
PROFFESIONAL,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
MANAGER,IONIQ 5 ELECTRIC INSPIRATION AWD,DBS BANK LTD
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DIRECTOR,TUCSON 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
LAWYER,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
BUSINESS ANALYST,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
Engineer,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 6 ELECTRIC AWD,MAYBANK SINGAPORE LIMITED
TEACHER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
PROJECT MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
PROFESSOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SENIOR ENGINEER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,DBS BANK LTD
HOMEMA,TUCSON 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
manager,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
CHANNEL DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,MAYBANK SINGAPORE LIMITED
TEACHER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 6 ELECTRIC AWD,OCBC Bank
DESIGN ENGINEER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
RENTAL,PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,"AVANTE 1.6 AUTO ""S""",MAYBANK SINGAPORE LIMITED
NULL,STARIA 3.5 AUTO (S/R),NO FINANCE - CASH PAYMENT
DOCTOR,IONIQ 6 ELECTRIC AWD,OCBC Bank
MANAGER,TUCSON 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
marketing manager,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
IT ASSISTANT MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DIRECTOR,PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
HOMEMAKER,TUCSON 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
NULL,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
MOTOR TRADERS,"AVANTE 1.6 AUTO ""S""",NO FINANCE - CASH PAYMENT
MOTOR TRADERS,"AVANTE 1.6 AUTO ""S""",NO FINANCE - CASH PAYMENT
